,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.path_length_d_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
0,1451,mnist25,10000,0.6133491396903992,0.6046303510665894,./d.n=mnist25,0.015310799703001976,8.548505866201594e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist25,shallow,1e-05,2.566052198410034,2.7340779304504395,1.2104601860046387,1.3042703866958618,12.174713134765625,0.01380525361451577
1,2863,mnist45,10000,0.5018760561943054,0.47347405552864075,./d.n=mnist45,0.011151636019349098,1.617164525669068e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist45,shallow,1e-05,2.382415533065796,2.4747724533081055,1.153598427772522,1.2338826656341553,11.420571327209473,0.013323988484923634
2,3233,mnist01,10000,0.33163484930992126,0.3045133352279663,./d.n=mnist01,0.0015372545458376408,7.293638191185892e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist01,shallow,1e-05,0.994789183139801,1.0518274307250977,1.090120792388916,1.0448006391525269,6.067101955413818,0.00972245092404748
3,3236,mnist34,10000,0.4322233200073242,0.39978712797164917,./d.n=mnist34,0.010219350457191467,3.946431752410717e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist34,shallow,1e-05,1.9399492740631104,2.0658767223358154,1.0610493421554565,1.2132246494293213,10.689958572387695,0.01316839596593718
4,3351,mnist27,10000,0.7466261386871338,0.6952792406082153,./d.n=mnist27,0.03813702240586281,8.99493352335412e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist27,shallow,1e-05,2.6072635650634766,2.553257703781128,1.1800497770309448,1.2507880926132202,15.695335388183594,0.015424034000103315
5,3488,mnist57,10000,0.5318432450294495,0.49288827180862427,./d.n=mnist57,0.021292096003890038,1.3768543794867583e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist57,shallow,1e-05,2.290773391723633,2.286154270172119,1.163854956626892,1.184305191040039,10.831689834594727,0.013057489929854168
6,3516,mnist46,10000,0.5635780096054077,0.5367273092269897,./d.n=mnist46,0.02659275010228157,7.679475857003126e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist46,shallow,1e-05,2.300229072570801,2.2476887702941895,1.16268789768219,1.2097046375274658,12.34920883178711,0.01389506409098463
7,3618,mnist67,10000,0.4967431426048279,0.45076820254325867,./d.n=mnist67,0.013282242231070995,8.126650755002629e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist67,shallow,1e-05,1.4852721691131592,1.496276617050171,1.0656988620758057,1.1092077493667603,6.65423059463501,0.010834903088416288
8,3885,mnist02,10000,0.5523354411125183,0.4902650713920593,./d.n=mnist02,0.019632209092378616,1.0998050129273906e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist02,shallow,1e-05,2.335418462753296,2.3666789531707764,1.2281590700149536,1.219377875328064,12.73047924041748,0.014903463457035377
9,4144,mnist69,10000,0.5234600901603699,0.48963624238967896,./d.n=mnist69,0.013950878754258156,8.382063242606819e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist69,shallow,1e-05,1.6394031047821045,1.6415247917175293,1.1457463502883911,1.1414530277252197,8.341385841369629,0.012076303698914177
10,4221,mnist28,10000,0.7484751343727112,0.6949424147605896,./d.n=mnist28,0.040455788373947144,8.131654794851784e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist28,shallow,1e-05,2.991436243057251,3.0454602241516113,1.272249698638916,1.2531063556671143,17.6594295501709,0.017391047646512173
11,4301,mnist29,10000,0.5941526293754578,0.5824781656265259,./d.n=mnist29,0.024998141452670097,1.4604114767280407e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist29,shallow,1e-05,2.1791932582855225,2.1663174629211426,1.0911930799484253,1.2016123533248901,12.216662406921387,0.014545416121753781
12,4343,mnist37,10000,0.5941266417503357,0.5337082743644714,./d.n=mnist37,0.02928655408322811,8.027561307244468e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist37,shallow,1e-05,2.3969662189483643,2.383303165435791,1.1623919010162354,1.2601386308670044,14.132978439331055,0.014776585359638448
