,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.weights_product_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
0,1141,mnist37,10000,0.7666151523590088,0.6943011283874512,./d.n=mnist37_m.lr=0.1_m.wprc=0,0.030817268416285515,2.5465444196015596e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist37_m.lr=0.1_m.wprc=0,shallow,0.0,2.704484462738037,2.7434685230255127,1.191058874130249,1.2475289106369019,16.691354751586914,0.015013973199831972
1,1188,mnist01,10000,0.4741668105125427,0.44152283668518066,./d.n=mnist01_m.lr=0.1_m.wprc=0,0.0014374911552295089,9.453650818613824e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist01_m.lr=0.1_m.wprc=0,shallow,0.0,1.3567267656326294,1.3899258375167847,1.0910122394561768,1.0448743104934692,7.480661869049072,0.010192804786863819
2,1118,mnist27,10000,0.9378993511199951,0.8963561058044434,./d.n=mnist27_m.lr=0.1_m.wprc=1e-05,0.03720172494649887,9.443311682844069e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist27_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.780747175216675,2.775935649871826,1.1934378147125244,1.1975749731063843,16.778528213500977,0.015257845531676936
3,1170,mnist02,10000,0.6164190769195557,0.5474725365638733,./d.n=mnist02_m.lr=0.1_m.wprc=0,0.02044147439301014,9.84846155915875e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist02_m.lr=0.1_m.wprc=0,shallow,0.0,2.41595721244812,2.4263999462127686,1.2024836540222168,1.1819134950637817,15.260706901550293,0.014839843944595487
4,1314,mnist57,10000,0.6570932865142822,0.6171384453773499,./d.n=mnist57_m.lr=0.1_m.wprc=1e-05,0.021056517958641052,8.864134542818647e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist57_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.420597791671753,2.4542629718780518,1.109925627708435,1.1639431715011597,11.826767921447754,0.013172782282452779
5,1383,mnist28,10000,0.9202293753623962,0.8539230823516846,./d.n=mnist28_m.lr=0.1_m.wprc=1e-05,0.03966134041547775,1.283222809433937e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist28_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,3.260880947113037,3.27748441696167,1.314005970954895,1.354798674583435,20.215492248535156,0.017999829589694788
6,1893,mnist17,10000,0.9450719356536865,0.8697933554649353,./d.n=mnist17_m.lr=0.1_m.wprc=0,0.025468207895755768,7.95292180555407e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist17_m.lr=0.1_m.wprc=0,shallow,0.0,2.6023013591766357,2.706468105316162,1.0974477529525757,1.0928285121917725,15.838650703430176,0.01458743049620598
7,1635,mnist34,10000,0.5031124949455261,0.4627031981945038,./d.n=mnist34_m.lr=0.1_m.wprc=1e-05,0.01028347946703434,1.009032621368533e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist34_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.1689603328704834,2.235569715499878,1.1295605897903442,1.1691447496414185,11.563958168029785,0.013478349600545907
8,1517,mnist15,10000,0.6270588636398315,0.6013667583465576,./d.n=mnist15_m.lr=0.1_m.wprc=0,0.008715931326150894,1.560352393426001e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist15_m.lr=0.1_m.wprc=0,shallow,0.0,2.3193235397338867,2.366476535797119,1.1519662141799927,1.1182949542999268,10.819412231445312,0.012410866286304629
9,1514,mnist08,10000,0.5978351831436157,0.5283455848693848,./d.n=mnist08_m.lr=0.1_m.wprc=0,0.020026229321956635,6.299787401076173e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist08_m.lr=0.1_m.wprc=0,shallow,0.0,2.253359794616699,2.283112049102783,1.1465202569961548,1.176418662071228,15.330615043640137,0.014804052121792283
10,1810,mnist36,10000,0.6447491645812988,0.5966633558273315,./d.n=mnist36_m.lr=0.1_m.wprc=1e-05,0.014774462208151817,1.0059462510980666e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist36_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.2786130905151367,2.2917585372924805,1.115960717201233,1.2229975461959839,11.686595916748047,0.013740851517858069
11,1291,mnist67,10000,0.7618234753608704,0.7115143537521362,./d.n=mnist67_m.lr=0.1_m.wprc=1e-05,0.012911689467728138,1.608571437827777e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist67_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,1.691446304321289,1.6924147605895996,1.0243504047393799,1.1076059341430664,7.1946940422058105,0.010897317587332372
12,1201,mnist58,10000,0.9702207446098328,0.8882330656051636,./d.n=mnist58_m.lr=0.1_m.wprc=1e-05,0.046790581196546555,8.463962331006769e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist58_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,3.9308483600616455,3.9918291568756104,1.28209388256073,1.3910900354385376,21.22053337097168,0.019087426858784628
13,2797,mnist49,10000,1.5439763069152832,1.3927377462387085,./d.n=mnist49_m.lr=0.1_m.wprc=0,0.08496405184268951,2.2644433556706645e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist49_m.lr=0.1_m.wprc=0,shallow,0.0,5.841573715209961,5.872764587402344,1.2632865905761719,1.3434926271438599,37.00107955932617,0.026057593326519645
14,1281,mnist29,10000,0.7443692684173584,0.7291209697723389,./d.n=mnist29_m.lr=0.1_m.wprc=1e-05,0.02401394210755825,1.0029889381257817e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist29_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.302276849746704,2.305270195007324,1.1411850452423096,1.1469464302062988,13.011594772338867,0.014107236143260019
15,1149,mnist09,10000,0.6803365349769592,0.6190763711929321,./d.n=mnist09_m.lr=0.1_m.wprc=0,0.019257202744483948,1.0860987458727323e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist09_m.lr=0.1_m.wprc=0,shallow,0.0,2.1340761184692383,2.165012836456299,1.12703275680542,1.1715073585510254,13.336161613464355,0.013621672425724402
16,993,mnist56,10000,0.8194739818572998,0.773099958896637,./d.n=mnist56_m.lr=0.1_m.wprc=0,0.03825469687581062,1.1249255294387694e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist56_m.lr=0.1_m.wprc=0,shallow,0.0,3.247342586517334,3.4170711040496826,1.2238513231277466,1.2851579189300537,19.912906646728516,0.01665868855987089
17,1624,mnist37,10000,0.7601295113563538,0.6895254850387573,./d.n=mnist37_m.lr=0.1_m.wprc=1e-05,0.030499015003442764,2.5530223865644075e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist37_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.688966751098633,2.6816294193267822,1.1840087175369263,1.2231833934783936,15.490462303161621,0.014877598558670989
18,2640,mnist16,10000,0.5257907509803772,0.5022778511047363,./d.n=mnist16_m.lr=0.1_m.wprc=1e-05,0.014622922986745834,3.2818064937600866e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist16_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,1.8330590724945068,1.826215386390686,1.0940600633621216,1.1256839036941528,9.228845596313477,0.012093883234567188
19,1504,mnist01,10000,0.4385930597782135,0.4148706793785095,./d.n=mnist01_m.lr=0.1_m.wprc=1e-05,0.0013206341536715627,6.347167527565034e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist01_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,1.235363483428955,1.280563235282898,1.0925512313842773,1.0836211442947388,6.768022060394287,0.009879210126243584
20,4182,mnist37,10000,0.9600958228111267,0.9478764533996582,./d.n=mnist37_m.lr=0.01_m.wprc=0,0.03162606805562973,9.725902600621339e-06,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist37_m.lr=0.01_m.wprc=0,shallow,0.0,3.886160135269165,4.177499294281006,1.087129831314087,1.0900944471359253,13.825369834899902,0.012135861131225166
21,2573,mnist05,10000,0.9037262201309204,0.821211040019989,./d.n=mnist05_m.lr=0.1_m.wprc=0,0.025035414844751358,2.5306251700385474e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist05_m.lr=0.1_m.wprc=0,shallow,0.0,3.1684622764587402,3.0839812755584717,1.1736047267913818,1.1676108837127686,16.964702606201172,0.017560056748598774
22,3261,mnist01,10000,0.5620303750038147,0.5514956116676331,./d.n=mnist01_m.lr=0.01_m.wprc=0,0.0004534180334303528,9.024100108945277e-06,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist01_m.lr=0.01_m.wprc=0,shallow,0.0,1.8581526279449463,1.8765113353729248,0.9498581290245056,1.0075993537902832,6.457649230957031,0.008698230700909967
23,3450,mnist35,10000,1.2735129594802856,1.2048017978668213,./d.n=mnist35_m.lr=0.01_m.wprc=1e-05,0.038081713020801544,2.0609046259778552e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist35_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,6.186445236206055,6.30559778213501,1.1889352798461914,1.198398470878601,19.381322860717773,0.014612059762184564
24,1131,mnist69,10000,0.8081174492835999,0.771760880947113,./d.n=mnist69_m.lr=0.1_m.wprc=0,0.013986478559672832,1.1050975444959477e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist69_m.lr=0.1_m.wprc=0,shallow,0.0,1.7800877094268799,1.8569267988204956,1.0898349285125732,1.1302738189697266,9.492504119873047,0.01218678352410345
25,3212,mnist45,10000,0.5610283017158508,0.5489246845245361,./d.n=mnist45_m.lr=0.01_m.wprc=0,0.00862271897494793,1.868830804596655e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist45_m.lr=0.01_m.wprc=0,shallow,0.0,3.790799856185913,3.783268928527832,1.0385457277297974,1.114640474319458,11.335806846618652,0.010989623005156504
26,3630,mnist57,10000,0.9008885622024536,0.8782031536102295,./d.n=mnist57_m.lr=0.01_m.wprc=0,0.018917983397841454,1.0377213584433775e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist57_m.lr=0.01_m.wprc=0,shallow,0.0,3.4000425338745117,3.604536533355713,1.016268253326416,1.0407265424728394,10.958412170410156,0.010829533054112415
27,2386,mnist48,10000,0.6679958701133728,0.6318707466125488,./d.n=mnist48_m.lr=0.1_m.wprc=1e-05,0.020943570882081985,7.135224677767837e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist48_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.770514726638794,2.758795738220215,1.1812255382537842,1.2545136213302612,15.423041343688965,0.01632985614875315
28,931,mnist27,10000,0.9754676222801208,0.933468759059906,./d.n=mnist27_m.lr=0.1_m.wprc=0,0.035491492599248886,1.1010790331056342e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist27_m.lr=0.1_m.wprc=0,shallow,0.0,2.8626351356506348,2.915790557861328,1.1605157852172852,1.2795019149780273,18.053037643432617,0.015602275391628636
29,4666,mnist59,10000,0.9879138469696045,0.962865948677063,./d.n=mnist59_m.lr=0.01_m.wprc=1e-05,0.028647838160395622,2.419307202217169e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist59_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,4.671703338623047,4.802918434143066,1.0918591022491455,1.111802577972412,14.337369918823242,0.012594318522962267
30,4054,mnist36,10000,0.729772686958313,0.710498034954071,./d.n=mnist36_m.lr=0.01_m.wprc=0,0.010344984009861946,1.0537763046158943e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist36_m.lr=0.01_m.wprc=0,shallow,0.0,3.0007972717285156,3.2055444717407227,1.0200483798980713,1.055826187133789,8.918754577636719,0.009987869769150703
31,4764,mnist16,10000,0.7491492629051208,0.7194076180458069,./d.n=mnist16_m.lr=0.01_m.wprc=1e-05,0.013021469116210938,9.606059393263422e-06,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist16_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,2.760575532913208,2.8093578815460205,1.0278851985931396,1.0339536666870117,8.27921199798584,0.009648691702913322
32,4901,mnist49,10000,1.4231889247894287,1.364141821861267,./d.n=mnist49_m.lr=0.01_m.wprc=1e-05,0.06507422775030136,1.8121085304301232e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist49_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,7.5371599197387695,7.494105339050293,1.2347954511642456,1.1904008388519287,23.07649803161621,0.016301198897243088
33,2865,mnist68,10000,0.813450813293457,0.7608341574668884,./d.n=mnist68_m.lr=0.1_m.wprc=1e-05,0.03438480198383331,9.428274097444955e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist68_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.7618672847747803,2.8322930335998535,1.1918213367462158,1.2234201431274414,16.96304702758789,0.017111432430550556
34,1513,mnist59,10000,0.7426505088806152,0.6965366005897522,./d.n=mnist59_m.lr=0.1_m.wprc=1e-05,0.03419157862663269,1.0703150110202841e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist59_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,3.07492733001709,3.118537664413452,1.1899820566177368,1.1871875524520874,17.229808807373047,0.01619702279776258
35,3763,mnist02,10000,0.6119747757911682,0.5894603729248047,./d.n=mnist02_m.lr=0.01_m.wprc=0,0.01577194407582283,1.606613841431681e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist02_m.lr=0.01_m.wprc=0,shallow,0.0,3.63706374168396,3.6483750343322754,1.0613023042678833,1.0767525434494019,11.349820137023926,0.011158888702722589
36,3484,mnist24,10000,0.6665589809417725,0.6722232103347778,./d.n=mnist24_m.lr=0.01_m.wprc=1e-05,0.021298516541719437,2.0953537386958487e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist24_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,3.640639543533325,3.6196694374084473,1.052778959274292,1.0847980976104736,11.872241020202637,0.011250645302002111
37,1984,mnist69,10000,0.8382908701896667,0.8212303519248962,./d.n=mnist69_m.lr=0.1_m.wprc=1e-05,0.014265901409089565,7.222695330710849e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist69_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,1.8148380517959595,1.8546552658081055,1.0747458934783936,1.122696876525879,9.084638595581055,0.012892833210675093
38,5616,mnist68,10000,0.8345293402671814,0.8015937209129333,./d.n=mnist68_m.lr=0.01_m.wprc=1e-05,0.0262775681912899,1.773934309312608e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist68_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,4.07542610168457,4.086869239807129,1.0800820589065552,1.0460474491119385,12.694302558898926,0.01200206674911035
39,3779,mnist26,10000,0.7705270648002625,0.7836329340934753,./d.n=mnist26_m.lr=0.01_m.wprc=0,0.02402334474027157,1.027242706186371e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist26_m.lr=0.01_m.wprc=0,shallow,0.0,3.8979575634002686,3.998985767364502,1.0946526527404785,1.1492093801498413,12.291719436645508,0.011556124618384128
40,1479,mnist39,10000,0.7747606039047241,0.7319064736366272,./d.n=mnist39_m.lr=0.1_m.wprc=1e-05,0.0363617017865181,1.1707244993885979e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist39_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,3.0208287239074707,3.0364584922790527,1.1615691184997559,1.231288194656372,18.25353240966797,0.016438563476252947
41,8946,mnist18,10000,1.110071063041687,1.089229941368103,./d.n=mnist18_m.lr=0.01_m.wprc=0,0.00922255590558052,1.1038912816729862e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist18_m.lr=0.01_m.wprc=0,shallow,0.0,4.896361827850342,4.938007831573486,1.2081927061080933,1.232574462890625,15.757591247558594,0.012969070288991401
42,6523,mnist13,10000,0.8310083746910095,0.7961899638175964,./d.n=mnist13_m.lr=0.01_m.wprc=0,0.011107083410024643,1.060892827808857e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist13_m.lr=0.01_m.wprc=0,shallow,0.0,3.5163869857788086,3.635833501815796,1.0628572702407837,1.0365512371063232,11.691770553588867,0.011172400532227952
43,2714,mnist13,10000,0.588484525680542,0.5530825853347778,./d.n=mnist13_m.lr=0.1_m.wprc=1e-05,0.013461895287036896,9.02418378245784e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist13_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.190279245376587,2.300487995147705,1.1426880359649658,1.136911392211914,11.765161514282227,0.013026974333387883
44,926,mnist67,10000,0.7623445391654968,0.7107667922973633,./d.n=mnist67_m.lr=0.1_m.wprc=0,0.012294710613787174,1.1997451110801194e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist67_m.lr=0.1_m.wprc=0,shallow,0.0,1.7402234077453613,1.7142176628112793,1.0958681106567383,1.0924633741378784,7.7068681716918945,0.010947942044389694
45,4735,mnist39,10000,0.9736707210540771,0.9520974159240723,./d.n=mnist39_m.lr=0.01_m.wprc=1e-05,0.028342630714178085,1.017997601593379e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist39_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,4.972865581512451,4.865683078765869,1.0614137649536133,1.1161415576934814,15.036399841308594,0.012938948495566493
46,3961,mnist29,10000,1.0428998470306396,1.0353293418884277,./d.n=mnist29_m.lr=0.01_m.wprc=0,0.021625297144055367,7.575574272777885e-06,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist29_m.lr=0.01_m.wprc=0,shallow,0.0,3.674379587173462,3.6632983684539795,1.099084734916687,1.111783742904663,11.963027954101562,0.011377194214933044
47,3640,mnist45,10000,0.5685417056083679,0.5586854219436646,./d.n=mnist45_m.lr=0.01_m.wprc=1e-05,0.00856103841215372,9.978998605220113e-06,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist45_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,3.6016225814819336,3.5955166816711426,1.043825387954712,1.102816104888916,11.06698226928711,0.01086403514170138
48,4933,mnist37,10000,0.9161709547042847,0.8984453082084656,./d.n=mnist37_m.lr=0.01_m.wprc=1e-05,0.030721373856067657,1.4202102647686843e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist37_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,4.150745868682861,4.038048267364502,1.0498663187026978,1.0895732641220093,13.395289421081543,0.012002408016582656
49,6894,mnist14,10000,0.6850314736366272,0.6611997485160828,./d.n=mnist14_m.lr=0.01_m.wprc=0,0.00424691429361701,8.815034561848734e-06,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist14_m.lr=0.01_m.wprc=0,shallow,0.0,3.2206788063049316,3.2684285640716553,1.0464394092559814,1.0798614025115967,10.614474296569824,0.010690871588427037
50,3408,mnist58,10000,1.0584430694580078,1.0173866748809814,./d.n=mnist58_m.lr=0.01_m.wprc=0,0.0394454225897789,1.2506506209319923e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist58_m.lr=0.01_m.wprc=0,shallow,0.0,5.65690803527832,5.75689172744751,1.2187302112579346,1.2777982950210571,18.177921295166016,0.01400474859974946
51,7970,mnist19,10000,0.9224692583084106,0.9139857888221741,./d.n=mnist19_m.lr=0.01_m.wprc=0,0.014712105505168438,1.2296904060349334e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist19_m.lr=0.01_m.wprc=0,shallow,0.0,3.468559503555298,3.629128932952881,1.0375887155532837,1.094171166419983,11.83092975616455,0.011194329773533346
52,7382,mnist14,10000,0.7082869410514832,0.6855617761611938,./d.n=mnist14_m.lr=0.01_m.wprc=1e-05,0.0039057594258338213,1.0924806701950729e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist14_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,2.9931247234344482,3.1016860008239746,1.0637915134429932,1.0685988664627075,10.409314155578613,0.010618475757613089
53,1452,mnist23,10000,0.843947172164917,0.7791839241981506,./d.n=mnist23_m.lr=0.1_m.wprc=1e-05,0.03476354479789734,6.820430826337542e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist23_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,3.4988975524902344,3.4566264152526855,1.2625190019607544,1.276634693145752,21.400861740112305,0.01864897273168588
54,1112,mnist59,10000,0.7470464110374451,0.7021215558052063,./d.n=mnist59_m.lr=0.1_m.wprc=0,0.03454846143722534,3.836264295387082e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist59_m.lr=0.1_m.wprc=0,shallow,0.0,3.0602076053619385,3.2803070545196533,1.1813857555389404,1.256536602973938,18.821414947509766,0.01641897274930128
55,4308,mnist48,10000,0.6418378949165344,0.617365837097168,./d.n=mnist48_m.lr=0.01_m.wprc=0,0.013603562489151955,1.1163767339894548e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist48_m.lr=0.01_m.wprc=0,shallow,0.0,3.9627339839935303,4.125935077667236,1.0424457788467407,1.068909764289856,11.938055992126465,0.011596257331872238
56,3432,mnist07,10000,0.8104928731918335,0.8088142275810242,./d.n=mnist07_m.lr=0.01_m.wprc=0,0.007761210668832064,1.6255060472758487e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist07_m.lr=0.01_m.wprc=0,shallow,0.0,2.556516170501709,2.6213936805725098,0.9967793226242065,1.0173403024673462,7.88329553604126,0.009435043530166899
57,1228,mnist39,10000,0.77913498878479,0.7344059944152832,./d.n=mnist39_m.lr=0.1_m.wprc=0,0.03402135521173477,7.0156529545784e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist39_m.lr=0.1_m.wprc=0,shallow,0.0,2.9334845542907715,3.098104953765869,1.151534914970398,1.2896958589553833,19.72600746154785,0.01663398856882727
58,3816,mnist03,10000,0.43264973163604736,0.4176267683506012,./d.n=mnist03_m.lr=0.01_m.wprc=0,0.0031222363468259573,1.0548571481194813e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist03_m.lr=0.01_m.wprc=0,shallow,0.0,2.9544031620025635,3.024354934692383,1.0133603811264038,1.0375070571899414,9.200860023498535,0.010218612333745335
59,3858,mnist03,10000,0.4135676622390747,0.403004914522171,./d.n=mnist03_m.lr=0.01_m.wprc=1e-05,0.003241088008508086,1.575996429892257e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist03_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,2.889883518218994,2.8354012966156006,1.062069058418274,1.0549346208572388,8.930896759033203,0.010056654171836907
60,2276,mnist47,10000,0.7524210810661316,0.6671305894851685,./d.n=mnist47_m.lr=0.1_m.wprc=1e-05,0.024225762113928795,1.1753040780604351e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist47_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.9619195461273193,2.9523870944976807,1.1320534944534302,1.1759257316589355,17.32415771484375,0.016417637622831185
61,3833,mnist05,10000,0.8027528524398804,0.7773476839065552,./d.n=mnist05_m.lr=0.01_m.wprc=0,0.01362550351768732,8.947107744461391e-06,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist05_m.lr=0.01_m.wprc=0,shallow,0.0,3.729111671447754,3.7509891986846924,1.104627251625061,1.1696927547454834,11.829096794128418,0.011412062783347767
62,5572,mnist15,10000,1.027212142944336,1.0040923357009888,./d.n=mnist15_m.lr=0.01_m.wprc=0,0.006758693140000105,1.3190954632591456e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist15_m.lr=0.01_m.wprc=0,shallow,0.0,3.411668062210083,3.440131187438965,1.0308157205581665,0.9825383424758911,9.97382640838623,0.01034266881103212
63,7517,mnist13,10000,0.8140047788619995,0.7888432741165161,./d.n=mnist13_m.lr=0.01_m.wprc=1e-05,0.010029228404164314,2.1327450667740777e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist13_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,3.3361566066741943,3.4963607788085938,1.0342795848846436,1.1138054132461548,11.056097984313965,0.010890363406519596
64,1170,mnist26,10000,0.6500558853149414,0.6202048063278198,./d.n=mnist26_m.lr=0.1_m.wprc=1e-05,0.02586338110268116,6.38588062429335e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist26_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,2.5531537532806396,2.6513779163360596,1.1952310800552368,1.2287265062332153,13.953330993652344,0.014235183809769623
65,4426,mnist05,10000,0.7526144981384277,0.7353829145431519,./d.n=mnist05_m.lr=0.01_m.wprc=1e-05,0.013371418230235577,9.174578735837713e-06,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist05_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,3.8048641681671143,3.768265962600708,1.114006757736206,1.1014827489852905,11.403785705566406,0.011331762541573207
66,1749,mnist06,10000,0.7734900116920471,0.6726815104484558,./d.n=mnist06_m.lr=0.1_m.wprc=0,0.032781556248664856,4.076271579833701e-05,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist06_m.lr=0.1_m.wprc=0,shallow,0.0,2.5280086994171143,2.4724864959716797,1.2106945514678955,1.212209939956665,16.455305099487305,0.01599524241695727
67,4252,mnist27,10000,1.4322255849838257,1.4212968349456787,./d.n=mnist27_m.lr=0.01_m.wprc=1e-05,0.03699057176709175,1.0708238733059261e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist27_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,4.67827844619751,4.705948352813721,1.1484390497207642,1.1327165365219116,15.465559959411621,0.012818608205932933
68,1205,mnist35,10000,0.9775441884994507,0.8865998387336731,./d.n=mnist35_m.lr=0.1_m.wprc=1e-05,0.04899488389492035,9.431434591533616e-06,64,15000,1e-05,256,0.01,0,0.1,d.n=mnist35_m.lr=0.1_m.wprc=1e-05,shallow,1e-05,4.122342109680176,4.018283367156982,1.2726969718933105,1.3165712356567383,23.00620460510254,0.01902740121855291
69,3705,mnist34,10000,0.419357568025589,0.40741631388664246,./d.n=mnist34_m.lr=0.01_m.wprc=0,0.006484984885901213,8.758349395066034e-06,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist34_m.lr=0.01_m.wprc=0,shallow,0.0,3.3956820964813232,3.312835693359375,1.0291908979415894,1.0155484676361084,9.725192070007324,0.010346876392966763
70,8253,mnist12,10000,1.2283602952957153,1.2211261987686157,./d.n=mnist12_m.lr=0.01_m.wprc=1e-05,0.015791699290275574,2.58885611401638e-05,64,15000,1e-05,256,0.01,0,0.01,d.n=mnist12_m.lr=0.01_m.wprc=1e-05,shallow,1e-05,3.962655782699585,3.715033769607544,1.1107048988342285,1.1442890167236328,12.55451774597168,0.011586690997143207
